Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1707,,Volcán en escudo,True,False,Santorini (Greece)
1729,2,Caldera,False,False,Krafla (Iceland)
1780,4,Estratovolcán,False,False,Sakura-jima (Japan)
1835,,Caldera,False,True,Banda Api (Pacific Ocean)
1843,,Estratovolcán,True,False,Soufriere Guadeloupe (Guadeloupe)
1854,5,Estratovolcán,False,False,Shiveluch (Russia)
1856,,Estratovolcán,True,False,Shishaldin (United States)
1860,2,Estratovolcán,False,False,Fuego (Guatemala)
1868,,Estratovolcán,True,True,Etna (Italy)
1872,4,Estratovolcán,False,False,Merapi (Indonesia)
1875,0,Estratovolcán,False,False,Kelut (Indonesia)
1878,,Estratovolcán,True,True,Yasur (Vanuatu)
1909,2,Estratovolcán,False,True,"Cameroon, Mt. (Cameroon)"
1914,3,Caldera,False,False,Pago (Papua New Guinea)
1917,1,Cúpula de lava,False,False,Okataina (New Zealand)
1930,2,Caldera,True,False,Krakatau (Indonesia)
1930,3,Estratovolcán,True,False,Stromboli (Italy)
1934,,Estratovolcán,False,False,Hood (United States)
1946,4,Estratovolcán,True,False,Sarychev Peak (Russia)
1954,,Estratovolcán,True,False,Stromboli (Italy)
1955,3,Estratovolcán,False,False,Sakura-jima (Japan)
1962,,Estratovolcán,False,False,Merapi (Indonesia)
1990,4,Estratovolcán,False,False,Kelut (Indonesia)
1993,1,Volcán complejo,False,False,Unzen (Japan)
2010,3,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2014,,Volcán en escudo,False,False,Kilauea (United States)
2016,,Estratovolcán,False,False,Sinabung (Indonesia)
2019,4,Estratovolcán,False,False,Manam (Papua New Guinea)
2019,,Estratovolcán,False,False,Sinabung (Indonesia)
1357,4,Volcán subglacial,False,False,Katla (Iceland)
1586,5,Estratovolcán,False,False,Kelut (Indonesia)
1730,,Cono piroclástico,False,False,Tseax River Cone (Canada)
1823,0,Volcán en escudo,False,False,Kilauea (United States)
1832,3,Estratovolcán,False,False,Merapi (Indonesia)
1838,2,Estratovolcán,False,False,Gamalama (Indonesia)
1858,2,Estratovolcán,False,False,Mayon (Philippines)
1872,3,Caldera,False,False,Aso (Japan)
1879,2,Estratovolcán,True,False,Stromboli (Italy)
1893,2,Estratovolcán,False,False,Azuma (Japan)
1918,3,Volcán submarino,True,False,Banua Wuhu (Indonesia)
1940,2,Estratovolcán,False,False,Miyake-jima (Japan)
1966,3,Estratovolcán,True,False,Tinakula (Solomon Is.)
1970,3,Estratovolcán,False,False,Hekla (Iceland)
1974,4,Estratovolcán,False,False,Fuego (Guatemala)
1975,2,Volcán complejo,False,False,Marapi (Indonesia)
1977,1,Caldera,False,False,Krafla (Iceland)
1984,,Volcán complejo,False,False,On-take (Japan)
1989,,Caldera,False,False,Aso (Japan)
1991,,Volcán complejo,False,False,Mutnovsky (Russia)
1991,5,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1992,,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1993,2,Estratovolcán,False,False,Mayon (Philippines)
1995,,Volcán complejo,False,False,Kelimutu (Indonesia)
2015,,Cúpula de lava,False,False,Okataina (New Zealand)
2018,,Estratovolcán,True,False,Kadovar (Papua New Guinea)
-1890,6,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
-455,4,Estratovolcán,False,False,Cotopaxi (Ecuador)
240,6,Estratovolcán,False,False,Ksudach (Russia)
1362,5,Estratovolcán,False,False,Oraefajokull (Iceland)
1385,3,Estratovolcán,False,False,Kelut (Indonesia)
1630,4,Estratovolcán,False,False,Furnas (Portugal)
1669,3,Estratovolcán,False,True,Etna (Italy)
1670,2,Volcán en escudo,False,False,Aoba (Vanuatu)
1690,3,Volcán complejo,False,False,Guntur (Indonesia)
1766,3,Estratovolcán,False,False,Mayon (Philippines)
1780,3,Estratovolcán,False,False,Aoga-shima (Japan)
1784,4,Caldera,False,False,Grimsvotn (Iceland)
1890,2,Estratovolcán,False,False,Victory (Papua New Guinea)
1913,1,Volcán complejo,False,False,Asama (Japan)
1926,3,Estratovolcán,False,False,Tokachi (Japan)
1932,4,Estratovolcán,False,False,Fuego (Guatemala)
1964,2,Estratovolcán,False,False,Villarrica (Chile)
1967,3,Caldera,True,False,Deception Island (Antarctica)
1974,2,Estratovolcán,False,False,Merapi (Indonesia)
1977,1,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1988,3,Estratovolcán,False,False,Lonquimay (Chile)
1991,1,Volcán complejo,False,False,Unzen (Japan)
1993,1,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2008,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2011,3,Estratovolcán,False,False,Nabro (Eritrea)
2013,,Estratovolcán,False,False,Ubinas (Peru)
2014,,Estratovolcán,False,False,Sinabung (Indonesia)
2015,,Estratovolcán,False,False,Sinabung (Indonesia)
-197,3,Volcán en escudo,True,True,Santorini (Greece)
60,6,Estratovolcán,False,False,Bona-Churchill (United States)
1631,5,Volcán complejo,True,True,Vesuvius (Italy)
1682,3,Volcán complejo,False,False,Vesuvius (Italy)
1757,0,Fisura volcánica,False,True,San Jorge (Portugal)
1812,4,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1827,2,Estratovolcán,False,False,Avachinsky (Russia)
1846,2,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1856,4,Estratovolcán,False,False,Komaga-take (Japan)
1883,4,Cúpula de lava,True,False,Augustine (United States)
1914,4,Estratovolcán,True,True,Sakura-jima (Japan)
1919,3,Estratovolcán,True,False,Stromboli (Italy)
1927,1,Estratovolcán,False,False,Esjufjoll (Iceland)
1944,2,Volcán complejo,False,False,Vesuvius (Italy)
1949,3,Estratovolcán,False,False,Camiguin (Philippines)
1953,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1968,3,Estratovolcán,False,False,Arenal (Costa Rica)
1972,,Volcán complejo,False,False,Hakone (Japan)
1981,2,Estratovolcán,False,False,Alaid (Russia)
1990,,Estratovolcán,False,False,Kelut (Indonesia)
1997,3,Estratovolcán,False,False,Soufriere Hills (Montserrat)
2002,3,Estratovolcán,False,False,Semeru (Indonesia)
2006,3,Estratovolcán,False,False,Tungurahua (Ecuador)
1334,3,Estratovolcán,False,False,Kelut (Indonesia)
1564,3,Estratovolcán,False,False,Gamkonora (Indonesia)
1711,3,Estratovolcán,False,False,Awu (Indonesia)
1873,,Volcán complejo,False,False,Vesuvius (Italy)
1877,4,Estratovolcán,False,False,Cotopaxi (Ecuador)
1892,3,Estratovolcán,True,False,Awu (Indonesia)
1895,2,Estratovolcán,False,False,Semeru (Indonesia)
1895,2,Estratovolcán,False,False,Karkar (Papua New Guinea)
1902,,Estratovolcán,True,False,Pelee (Martinique)
1904,2,Volcán en escudo,False,False,Karthala (Comoros)
1906,3,Volcán complejo,True,False,Vesuvius (Italy)
1928,1,Estratovolcán,False,False,Etna (Italy)
1929,3,Estratovolcán,False,False,Calbuco (Chile)
1930,3,Estratovolcán,False,False,Merapi (Indonesia)
1933,3,Estratovolcán,True,False,Kharimkotan (Russia)
1933,4,Estratovolcán,False,False,Kuchinoerabu-jima (Japan)
1950,1,Estratovolcán,False,False,Semeru (Indonesia)
1972,2,Volcán en escudo,False,False,"Fournaise, Piton de la (Reunion)"
1978,3,Estratovolcán,False,False,Usu (Japan)
1979,,Volcán complejo,True,False,Iliwerung (Indonesia)
1996,,Estratovolcán,False,False,Maderas (Nicaragua)
2002,4,Estratovolcán,False,False,Reventador (Ecuador)
2011,4,Estratovolcán,False,False,Tungurahua (Ecuador)
2016,,Caldera,False,False,Aso (Japan)
-1010,5,Estratovolcán,False,False,Tungurahua (Ecuador)
350,,Cúpula de lava,False,False,Augustine (United States)
1311,4,Volcán subglacial,False,False,Katla (Iceland)
1587,4,Estratovolcán,False,False,Merapi (Indonesia)
1716,2,Estratovolcán,False,False,Kelut (Indonesia)
1729,1,Estratovolcán,False,False,Bardarbunga (Iceland)
1742,3,Estratovolcán,False,False,Cotopaxi (Ecuador)
1772,3,Estratovolcán,True,False,Gamalama (Indonesia)
1775,3,Estratovolcán,False,False,Lokon-Empung (Indonesia)
1840,3,Estratovolcán,False,False,Ararat (Turkey)
1871,3,Estratovolcán,False,False,Mayon (Philippines)
1874,2,Estratovolcán,False,False,Taal (Philippines)
1883,6,Caldera,True,False,Krakatau (Indonesia)
1885,2,Estratovolcán,False,False,Semeru (Indonesia)
1919,0,Volcán en escudo,True,False,Mauna Loa (United States)
1939,1,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1952,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1952,1,Volcán compuesto,False,False,Ambalatungan Group (Philippines)
1961,3,Estratovolcán,False,False,Calbuco (Chile)
1978,3,Estratovolcán,False,False,Semeru (Indonesia)
1984,,Maar,False,False,Oku Volc Field (Cameroon)
1986,2,Estratovolcán,False,False,Stromboli (Italy)
1987,,Volcán complejo,False,True,Sirung (Indonesia)
1993,,Volcán en escudo,False,False,Kilauea (United States)
1996,3,Estratovolcán,False,False,Popocatepetl (Mexico)
2006,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2010,,Estratovolcán,False,False,Sinabung (Indonesia)
2016,,Caldera,False,False,Yellowstone (United States)
-4350,7,Caldera,False,False,Kikai (Japan)
934,4,Volcán subglacial,False,False,Katla (Iceland)
1250,,Estratovolcán,False,False,Fentale (Ethiopia)
1389,3,Estratovolcán,False,False,Hekla (Iceland)
1471,5,Estratovolcán,False,False,Sakura-jima (Japan)
1500,4,Volcán subglacial,False,False,Katla (Iceland)
1590,3,Estratovolcán,False,False,Colima (Mexico)
1596,2,Volcán complejo,False,False,Asama (Japan)
1606,2,Estratovolcán,True,False,Hachijo-jima (Japan)
1712,2,Estratovolcán,False,False,Bardarbunga (Iceland)
1716,2,Estratovolcán,False,False,Bardarbunga (Iceland)
1737,2,Volcán complejo,False,False,Vesuvius (Italy)
1779,4,Estratovolcán,False,False,Sakura-jima (Japan)
1783,4,Volcán complejo,False,False,Asama (Japan)
1822,3,Estratovolcán,False,False,Merapi (Indonesia)
1840,3,Estratovolcán,False,False,Tinakula (Solomon Is.)
1845,2,Estratovolcán,True,True,Soputan (Indonesia)
1847,2,Estratovolcán,False,False,Fogo (Cape Verde)
1856,3,Estratovolcán,True,True,Awu (Indonesia)
1861,4,Estratovolcán,False,False,Makian (Indonesia)
1903,1,Cúpula de lava,False,False,Okataina (New Zealand)
1951,,Volcán complejo,False,False,Hakone (Japan)
1954,2,Estratovolcán,False,False,Bam (Papua New Guinea)
1958,,Estratovolcán,False,False,Daisetsu (Japan)
1962,2,Estratovolcán,False,False,Gamalama (Indonesia)
1969,2,Estratovolcán,False,False,Merapi (Indonesia)
1973,3,Estratovolcán,False,False,Paluweh (Indonesia)
1974,3,Estratovolcán,False,False,Sakura-jima (Japan)
1978,,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1983,4,Estratovolcán,False,False,Colo [Una Una] (Indonesia)
1987,2,Estratovolcán,False,False,Etna (Italy)
1994,3,Estratovolcán,False,False,Rinjani (Indonesia)
1996,3,Caldera,False,False,Grimsvotn (Iceland)
1997,3,Estratovolcán,False,False,Soufriere Hills (Montserrat)
1999,3,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2001,2,Estratovolcán,False,False,Merapi (Indonesia)
2002,1,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
2011,,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2012,,Volcán en escudo,False,False,Kilauea (United States)
2012,,Volcán en escudo,False,False,Kilauea (United States)
416,,Caldera,True,False,Krakatau (Indonesia)
1311,3,Estratovolcán,False,False,Kelut (Indonesia)
1410,3,Estratovolcán,False,False,Nasu (Japan)
1672,2,Estratovolcán,False,False,Fayal (Portugal)
1780,,Estratovolcán,True,False,Sakura-jima (Japan)
1800,2,Estratovolcán,False,False,Kieyo (Tanzania)
1803,2,Volcán complejo,False,False,Asama (Japan)
1894,3,Escudo piroclástico,False,False,Ambrym (Vanuatu)
1910,2,Estratovolcán,False,False,Usu (Japan)
1911,2,Volcán complejo,False,False,Asama (Japan)
1917,3,Estratovolcán,False,True,San Salvador (El Salvador)
1923,,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1923,2,Volcán en escudo,False,False,Kirishima (Japan)
1929,4,Estratovolcán,False,False,Komaga-take (Japan)
1929,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1939,1,Volcán submarino,True,False,Kick-'em-Jenny (Netherlands)
1951,3,Estratovolcán,False,False,Kelut (Indonesia)
1966,4,Estratovolcán,False,False,Awu (Indonesia)
1971,2,Estratovolcán,False,False,Villarrica (Chile)
1974,2,Cúpula de lava,False,False,Niigata-Yake-yama (Japan)
1977,0,Volcán en escudo,False,False,Karthala (Comoros)
1978,2,Estratovolcán,False,False,Bulusan (Philippines)
1982,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,,Volcán complejo,False,False,Akita-Yake-yama (Japan)
2001,2,Estratovolcán,False,False,Etna (Italy)
2018,1,Volcán en escudo,False,False,Kilauea (United States)
-1610,7,Volcán en escudo,True,True,Santorini (Greece)
-150,,Volcán complejo,False,False,St. Andrew Strait (Papua New Guinea)
-100,6,Volcán en escudo,False,False,Okmok (United States)
1341,3,Estratovolcán,False,False,Hekla (Iceland)
1430,,Caldera,False,False,Kuwae (Vanuatu)
1510,4,Estratovolcán,False,False,Hekla (Iceland)
1580,6,Escudo piroclástico,False,False,Billy Mitchell (Papua New Guinea)
1698,3,Estratovolcán,False,False,Cereme (Indonesia)
1716,4,Estratovolcán,True,True,Taal (Philippines)
1717,3,Estratovolcán,False,False,Fuego (Guatemala)
1721,5,Volcán subglacial,False,False,Katla (Iceland)
1819,,Estratovolcán,True,False,Asuncion (United States)
1845,3,Estratovolcán,False,False,Ruiz (Colombia)
1895,2,Volcán en escudo,False,False,Kirishima (Japan)
1901,,Estratovolcán,True,True,Epi (Vanuatu)
1907,0,Volcán submarino,True,True,Unnamed (Tonga)
1928,,Caldera,True,False,Krakatau (Indonesia)
1940,2,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1946,2,Estratovolcán,False,False,Semeru (Indonesia)
1953,3,Estratovolcán,False,False,Merapi (Indonesia)
1954,,Estratovolcán,False,False,Tate-yama (Japan)
1961,2,Volcán complejo,False,False,Asama (Japan)
1962,3,Estratovolcán,False,False,Tokachi (Japan)
1963,3,Estratovolcán,False,True,Agung (Indonesia)
1969,2,Volcán compuesto,True,False,Didicas (Philippines)
1997,1,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2000,3,Estratovolcán,False,False,Semeru (Indonesia)
2009,,Volcán en escudo,False,False,Kilauea (United States)
2011,,Estratovolcán,False,False,Merapi (Indonesia)
450,6,Caldera,False,False,Ilopango (El Salvador)
1565,3,Volcán complejo,False,True,Pacaya (Guatemala)
1716,3,Volcán en escudo,False,False,Kirishima (Japan)
1721,1,Volcán complejo,False,False,Asama (Japan)
1762,2,Estratovolcán,False,False,Kliuchevskoi (Russia)
1784,,Estratovolcán,False,False,Sabancaya (Peru)
1786,2,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1800,,Volcán complejo,False,False,Guntur (Indonesia)
1800,0,Volcán en escudo,False,False,Hualalai (United States)
1839,2,Volcán submarino,True,False,Unnamed (Chile)
1861,2,Caldera,False,False,Grimsvotn (Iceland)
1878,3,Escudo piroclástico,True,True,Rabaul (Papua New Guinea)
1901,3,Estratovolcán,False,False,Kelut (Indonesia)
1911,3,Estratovolcán,True,True,Taal (Philippines)
1917,3,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1921,,Estratovolcán,False,False,Nasu (Japan)
1933,,Volcán complejo,False,False,Hakone (Japan)
1941,2,Estratovolcán,False,False,Semeru (Indonesia)
1944,2,Estratovolcán,False,False,Usu (Japan)
1947,4,Estratovolcán,False,False,Hekla (Iceland)
1976,,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1979,2,Estratovolcán,False,False,Etna (Italy)
1982,4,Estratovolcán,False,False,Galunggung (Indonesia)
1988,3,Estratovolcán,False,False,Arenal (Costa Rica)
2005,,Volcán en escudo,False,False,Karthala (Comoros)
2010,,Estratovolcán,False,False,Tengger Caldera (Indonesia)
-1050,6,Estratovolcán,False,False,Pinatubo (Philippines)
764,4,Estratovolcán,False,False,Sakura-jima (Japan)
766,3,Estratovolcán,True,True,Sakura-jima (Japan)
1760,4,Estratovolcán,False,False,Makian (Indonesia)
1766,4,Estratovolcán,False,False,Hekla (Iceland)
1790,4,Volcán en escudo,False,False,Kilauea (United States)
1803,2,Volcán complejo,False,False,Asama (Japan)
1813,2,Volcán complejo,True,False,Vesuvius (Italy)
1825,3,Estratovolcán,False,False,Shishaldin (United States)
1869,2,Estratovolcán,False,False,Lamongan (Indonesia)
1883,,Caldera,True,False,Krakatau (Indonesia)
1900,2,Volcán complejo,False,False,Asama (Japan)
1914,,Estratovolcán,False,False,White Island (New Zealand)
1928,3,Estratovolcán,True,False,Paluweh (Indonesia)
1952,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1953,0,Volcán complejo,False,False,Sirung (Indonesia)
1963,2,Estratovolcán,False,False,Villarrica (Chile)
1976,2,Estratovolcán,False,False,Merapi (Indonesia)
1977,3,Estratovolcán,False,False,Usu (Japan)
1980,5,Estratovolcán,True,True,St. Helens (United States)
1981,,Estratovolcán,False,False,Vilyuchik (Russia)
1985,3,Estratovolcán,False,False,Ruiz (Colombia)
1990,3,Estratovolcán,False,False,Shiveluch (Russia)
1990,3,Estratovolcán,False,False,Santa Maria (Guatemala)
1995,3,Estratovolcán,False,False,Yasur (Vanuatu)
2006,1,Estratovolcán,False,False,Merapi (Indonesia)
2010,2,Estratovolcán,False,False,Eyjafjallajokull (Iceland)
2010,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2011,,Volcán subglacial,False,False,Katla (Iceland)
2015,,Estratovolcán,False,False,Sinabung (Indonesia)
2018,2,Escudo piroclástico,False,True,Ambrym (Vanuatu)
2019,4,Estratovolcán,False,False,Manam (Papua New Guinea)
-1370,6,Caldera,False,False,Pago (Papua New Guinea)
710,6,Caldera,False,False,Pago (Papua New Guinea)
1853,3,Estratovolcán,False,False,Mayon (Philippines)
1872,4,Estratovolcán,False,False,Merapi (Indonesia)
1878,3,Estratovolcán,True,False,Yasur (Vanuatu)
1905,2,Volcán en escudo,True,False,Savai'i (Samoa)
1918,4,Volcán subglacial,False,False,Katla (Iceland)
1944,2,Estratovolcán,True,False,Stromboli (Italy)
1952,2,Volcán submarino,True,False,Myojun Knoll (Japan)
1955,4,Cono piroclástico,False,False,Carran-Los Venados (Chile)
1961,3,Estratovolcán,False,False,Merapi (Indonesia)
1975,3,Estratovolcán,False,False,Arenal (Costa Rica)
1980,3,Estratovolcán,False,False,Hekla (Iceland)
1981,2,Estratovolcán,False,False,Paluweh (Indonesia)
1988,,Volcán complejo,False,False,Akita-Yake-yama (Japan)
1991,2,Volcán en escudo,False,False,Karthala (Comoros)
1994,3,Estratovolcán,False,False,Merapi (Indonesia)
1995,1,Estratovolcán,False,False,Yake-dake (Japan)
2002,,Estratovolcán,True,False,Stromboli (Italy)
2003,3,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2010,3,Estratovolcán,False,False,Tungurahua (Ecuador)
2018,2,Estratovolcán,False,False,Fuego (Guatemala)
-1550,,Estratovolcán,False,False,Redoubt (United States)
-250,6,Estratovolcán,False,False,Raoul Island (New Zealand)
1640,5,Estratovolcán,True,True,Komaga-take (Japan)
1785,3,Estratovolcán,False,False,Aoga-shima (Japan)
1812,3,Estratovolcán,False,False,Awu (Indonesia)
1853,0,Volcán en escudo,False,False,Niuafo'ou (Tonga)
1892,2,Estratovolcán,False,False,Sorikmarapi (Indonesia)
1917,3,Estratovolcán,False,False,Calbuco (Chile)
1938,1,Volcán complejo,False,False,Asama (Japan)
1941,2,Volcán complejo,False,False,Asama (Japan)
1943,4,Cono de ceniza,False,False,Michoacan-Guanajuato (Mexico)
1944,2,Volcán complejo,False,False,Dieng Volc Complex (Indonesia)
1953,1,Estratovolcán,False,False,Oshima (Japan)
1973,,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1990,2,Caldera,False,False,Aso (Japan)
1991,6,Estratovolcán,False,True,Pinatubo (Philippines)
1992,1,Estratovolcán,False,False,Pinatubo (Philippines)
1995,2,Estratovolcán,False,False,Fogo (Cape Verde)
1996,3,Estratovolcán,False,False,Manam (Papua New Guinea)
2000,,Volcán en escudo,False,False,Kilauea (United States)
2005,3,Estratovolcán,False,False,Santa Ana (El Salvador)
2006,2,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2015,,Estratovolcán,False,False,Calbuco (Chile)
2017,,Caldera,False,False,Campi Flegrei (Italy)
2018,,Estratovolcán,False,False,Kadovar (Papua New Guinea)
2018,,Estratovolcán,False,False,Ijen (Indonesia)
