Team,Nationality,Position,Age,Potential,Name 
AS Monaco Football Club SA ,Portugal,Medio centro ofensivo|Medio centro,31,Bueno,Adrien Silva
Toronto FC ,Argentina,Medio derecho|Medio izquierdo|Extremo izquierdo,31,Bueno,Pablo Piatti
Al Nassr ,Morocco,Medio derecho|Medio izquierdo,33,Bueno,Nordin Amrabat
Toulouse Football Club ,Ivory Coast,Medio izquierdo|Extremo izquierdo,32,Bueno,Max-Alain Gradel
AS Monaco Football Club SA ,Montenegro,Delantero Centro|Medio centro ofensivo|Media punta,30,Bueno,Stevan Jovetic
Eintracht Frankfurt ,Japan,Defensa central|Medio centro ofensivo,36,Bueno,Makoto Hasebe
Liverpool ,England,Medio centro,32,Bueno,Adam Lallana
Lokomotiv Moscow ,Russia,Portero,34,Bueno,Guilherme
Everton ,Republic of Ireland,Lateral derecho,31,Bueno,Séamus Coleman
Roma ,Argentina,Defensa central,33,Bueno,Federico Fazio
SK Brann ,Germany,Portero,31,Bueno,Ralf Fährmann
SL Benfica ,Morocco,Medio centro|Medio centro ofensivo,31,Bueno,Adel Taarabt
Club Brugge KV ,Netherlands,Medio centro,32,Bueno,Ruud Vormer
SD Eibar ,Senegal,Medio centro ofensivo|Medio centro,34,Bueno,Papakouli Diop
LA Galaxy ,Mexico,Delantero Centro,32,Bueno,Javier Hernández
Hellas Verona ,Portugal,Medio centro ofensivo|Medio centro,34,Bueno,Miguel Veloso
San Lorenzo de Almagro ,Argentina,Delantero Centro|Medio izquierdo|Extremo izquierdo,35,Bueno,Ignacio Piatti
Lazio ,Ecuador,Delantero Centro|Media punta,31,Bueno,Felipe Caicedo
Besiktas JK ,Ghana,Medio centro|Media punta,33,Bueno,Kevin-Prince Boateng
Free Agents ,Mexico,Defensa central,32,Bueno,Héctor Moreno
Genoa ,Italy,Lateral izquierdo|Defensa central|Medio izquierdo,33,Bueno,Domenico Criscito
Inter ,Nigeria,Carrilero derecho|Medio derecho|Extremo izquierdo,29,Bueno,Victor Moses
Parma ,Ivory Coast,Extremo izquierdo|Extremo izquierdo,33,Bueno,Gervinho
LA Galaxy ,Mexico,Medio centro,30,Bueno,Jonathan dos Santos
Newcastle United ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,30,Bueno,Danny Rose
Crystal Palace ,England,Defensa central,34,Bueno,Gary Cahill
SD Eibar ,Brazil,Delantero Centro,36,Bueno,Charles
Aston Villa ,England,Portero,34,Bueno,Tom Heaton
AS Monaco Football Club SA ,Spain,Medio centro ofensivo|Medio centro|Medio centro ofensivo,33,Bueno,Cesc Fàbregas
Inter ,Spain,Medio centro ofensivo|Medio centro ofensivo,35,Bueno,Borja Valero
AS Saint-Étienne ,France,Defensa central,34,Bueno,Loïc Perrin
AS Saint-Étienne ,France,Carrilero derecho|Lateral derecho|Defensa central|Extremo izquierdo,35,Bueno,Mathieu Debuchy
OGC Nice ,Brazil,Defensa central,36,Bueno,Dante
Ajax ,Netherlands,Delantero Centro|Extremo izquierdo|Extremo izquierdo,33,Bueno,Ryan Babel
Villarreal CF ,Spain,Portero,33,Bueno,Andrés Fernández
Boca Juniors ,Argentina,Delantero Centro|Medio centro ofensivo,36,Bueno,Carlos Tévez
Roma ,Italy,Portero,37,Bueno,Antonio Mirante
Club América ,Mexico,Portero,35,Bueno,Guillermo Ochoa
Free Agents ,Ecuador,Defensa central,35,Bueno,Jhon Monsario
Olympique Lyonnais ,Brazil,Medio centro ofensivo|Medio centro,22,Muy bueno,Bruno Guimarães
Villarreal CF ,Nigeria,Medio derecho,21,Muy bueno,Samuel Chukwueze
Free Agents ,Uruguay,Medio centro ofensivo|Medio centro,28,Bueno,Vicente Damián Castro
Free Agents ,Uruguay,Lateral derecho|Medio derecho|Medio centro,32,Bueno,Sebastián Bruno Luna
Free Agents ,Uruguay,Medio centro ofensivo|Media punta,32,Bueno,Andrés Daniel Píriz
Free Agents ,Uruguay,Medio centro ofensivo,32,Bueno,Leandro Agustín Baezo
SK Slavia Praha ,Czech Republic,Lateral derecho,27,Bueno,Vladimír Coufal
Hellas Verona ,Kosovo,Lateral izquierdo|Defensa central,26,Muy bueno,Amir Rrahmani
SL Benfica ,Portugal,Medio centro ofensivo,25,Muy bueno,Chiquinho
KAA Gent ,Canada,Delantero Centro|Medio centro ofensivo,20,Muy bueno,Jonathan David
Burnley ,England,Medio izquierdo,20,Muy bueno,Dwight McNeil
Trabzonspor ,Nigeria,Medio izquierdo,31,Bueno,Anthony Nwakaeme
Brescia ,Italy,Medio centro ofensivo|Medio centro,20,Sobresaliente,Sandro Tonali
River Plate ,Uruguay,Medio centro|Medio centro ofensivo|Extremo izquierdo,23,Muy bueno,Nicolás De la Cruz
BSC Young Boys ,Cameroon,Delantero Centro,27,Bueno,Jean-Pierre Nsame
FC Schalke 04 ,Turkey,Defensa central,20,Muy bueno,Ozan Kabak
SC Braga ,Brazil,Extremo izquierdo|Extremo izquierdo,22,Muy bueno,Galeno
Club Brugge KV ,Senegal,Medio derecho|Medio izquierdo,21,Muy bueno,Krépin Diatta
Juventus ,Turkey,Defensa central,22,Muy bueno,Merih Demiral
Roma ,Italy,Medio derecho|Medio centro ofensivo,21,Muy bueno,Nicolò Zaniolo
Fiorentina ,Italy,Delantero Centro,22,Muy bueno,Patrick Cutrone
Manchester City ,England,Medio centro|Medio centro ofensivo,20,Muy bueno,Phil Foden
Galatasaray SK ,DR Congo,Defensa central|Medio centro ofensivo,26,Muy bueno,Christian Luyindama
Racing Club ,Paraguay,Medio izquierdo|Medio centro|Extremo izquierdo,24,Muy bueno,Matías Rojas
Vitória Guimarães ,Brazil,Extremo izquierdo,29,Bueno,Davidson
Olympique Lyonnais ,France,Delantero Centro|Extremo izquierdo,23,Muy bueno,Martin Terrier
KAA Gent ,Cameroon,Defensa central,29,Bueno,Michael Ngadeu
AZ ,Netherlands,Extremo izquierdo,21,Muy bueno,Calvin Stengs
Arsenal ,France,Medio centro ofensivo|Medio centro,21,Muy bueno,Mattéo Guendouzi
1. FSV Mainz 05 ,France,Delantero Centro,23,Muy bueno,Jean-Philippe Mateta
Independiente ,Argentina,Carrilero derecho|Lateral derecho|Medio derecho|Extremo izquierdo,24,Muy bueno,Fabricio Bustos
Fortuna Düsseldorf ,United States,Portero,25,Muy bueno,Zack Steffen
FC Bayern München ,Canada,Lateral izquierdo|Medio derecho|Medio izquierdo,19,Muy bueno,Alphonso Davies
SC Braga ,Brazil,Defensa central,25,Muy bueno,Bruno Viana
Galatasaray SK ,Nigeria,Delantero Centro|Medio izquierdo,23,Muy bueno,Henry Onyekuru
Milan ,Brazil,Medio centro|Medio centro ofensivo,22,Muy bueno,Lucas Paquetá
Real Sociedad ,Spain,Defensa central|Medio centro ofensivo|Medio centro,23,Muy bueno,Zubeldia
VfL Wolfsburg ,Austria,Medio centro ofensivo|Medio centro|Medio centro ofensivo,22,Muy bueno,Xaver Schlager
FC Porto ,Japan,Medio izquierdo|Extremo izquierdo,25,Muy bueno,Shoya Nakajima
Chelsea ,England,Defensa central,22,Muy bueno,Fikayo Tomori
Milan ,France,Lateral izquierdo,22,Muy bueno,Theo Hernández
Aston Villa ,Brazil,Delantero Centro,23,Muy bueno,Wesley
Manchester United ,Wales,Medio derecho|Medio izquierdo,22,Muy bueno,Daniel James
Hertha BSC ,Serbia,Medio centro ofensivo|Medio centro,24,Muy bueno,Marko Grujic
LOSC Lille ,Turkey,Medio derecho|Medio centro ofensivo,23,Muy bueno,Yusuf Yazici
PSV ,Netherlands,Delantero Centro|Extremo izquierdo,21,Muy bueno,Donyell Malen
Stade Rennais FC ,France,Defensa central,23,Muy bueno,Joris Gnagnon
River Plate ,Argentina,Carrilero derecho|Lateral derecho|Extremo izquierdo,23,Muy bueno,Gonzalo Montiel
Botafogo ,Brazil,Delantero Centro|Media punta,28,Bueno,Formosandrinho
Santos ,Brazil,Medio centro ofensivo,28,Bueno,Adilson Edrada
Atlético Mineiro ,Brazil,Medio centro ofensivo|Media punta,32,Bueno,Simão Acunha
Palmeiras ,Brazil,Medio izquierdo,20,Bueno,Muo Cadete
São Paulo ,Brazil,Medio centro|Medio centro ofensivo,24,Bueno,Nicolás Filhei
São Paulo ,Brazil,Medio centro ofensivo,28,Bueno,Rodrigo Vuarte
Flamengo ,Brazil,Medio centro ofensivo|Medio centro,24,Bueno,Jadsinho Mei
Palmeiras ,Brazil,Medio centro ofensivo|Medio centro,36,Bueno,Wagner Laranjo
Flamengo ,Brazil,Lateral derecho|Lateral izquierdo,32,Bueno,Wellington Sabrão
Internacional ,Brazil,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,20,Bueno,Gazzolisco
Palmeiras ,Brazil,Portero,20,Bueno,Lucas Mantela
Vitória Guimarães ,Mali,Lateral derecho,25,Muy bueno,Falaye Sacko
Athletic Club ,Spain,Extremo izquierdo,23,Muy bueno,Córdoba
Roma ,Italy,Defensa central|Medio centro ofensivo,24,Muy bueno,Gianluca Mancini
R. Valladolid CF ,Spain,Medio izquierdo|Medio centro ofensivo,25,Muy bueno,Toni Villa
River Plate ,Argentina,Defensa central,24,Muy bueno,Lucas Martínez Quarta
Levante UD ,Spain,Delantero Centro,23,Muy bueno,Borja Mayoral
Sampdoria ,Italy,Portero,23,Muy bueno,Emil Audero
Club Atlético Lanús ,Argentina,Portero,24,Muy bueno,Agustín Rossi
Real Sociedad ,Spain,Portero,25,Muy bueno,Álex Remiro
Liverpool ,Japan,Delantero Centro|Medio derecho|Medio centro ofensivo,25,Muy bueno,Takumi Minamino
FC Nantes ,Brazil,Defensa central|Medio centro ofensivo,28,Bueno,Andrei Girotto
Arsenal ,Scotland,Lateral izquierdo,23,Muy bueno,Kieran Tierney
FC Red Bull Salzburg ,Korea Republic,Delantero Centro,24,Muy bueno,Hwang Hee Chan
Boca Juniors ,Argentina,Delantero Centro,30,Bueno,Ramón Ábila
Atlanta United ,Argentina,Medio centro ofensivo|Media punta|Extremo izquierdo,27,Muy bueno,Gonzalo Martínez
Real Sociedad ,Spain,Lateral derecho|Defensa central,26,Muy bueno,Aritz Elustondo
Norwich City ,Argentina,Medio derecho,23,Muy bueno,Emiliano Buendía
Real Betis ,Argentina,Medio centro ofensivo|Medio centro,25,Bueno,Guido Rodríguez
Medipol Basaksehir FK ,Turkey,Medio centro|Medio centro ofensivo,25,Muy bueno,Irfan Can Kahveci
Torino ,Spain,Medio izquierdo|Media punta|Extremo izquierdo,25,Muy bueno,Alex Berenguer
Everton ,England,Lateral derecho|Defensa central,23,Muy bueno,Mason Holgate
Dalian YiFang FC ,Ghana,Delantero Centro,24,Muy bueno,Emmanuel Boateng
Seattle Sounders FC ,Colombia,Defensa central,28,Bueno,Yeimar Gómez Andrade
Futebol Clube de Famalicão ,Portugal,Media punta|Extremo izquierdo,27,Bueno,Fábio Martins
Olympique Lyonnais ,Denmark,Defensa central,24,Muy bueno,Joachim Andersen
Borussia Mönchengladbach ,Algeria,Lateral izquierdo|Defensa central,25,Muy bueno,Ramy Bensebaini
SL Benfica ,Portugal,Delantero Centro,30,Bueno,Dyego Sousa
Lazio ,Montenegro,Medio derecho,27,Bueno,Adam Marušic
Olympique de Marseille ,France,Medio centro,22,Muy bueno,Maxime Lopez
Racing Club ,Chile,Portero,32,Bueno,Gabriel Arias
Colón de Santa Fe ,Argentina,Delantero Centro|Medio derecho,25,Muy bueno,Brian Fernández
R. Valladolid CF ,Turkey,Delantero Centro,23,Muy bueno,Enes Ünal
Free Agents ,Russia,Medio centro ofensivo|Medio derecho|Medio centro,27,Bueno,Daler Kuzyaev
FC Girondins de Bordeaux ,Brazil,Medio centro ofensivo|Medio centro,26,Bueno,Otávio
Lokomotiv Moscow ,Russia,Medio derecho|Medio centro ofensivo,24,Muy bueno,Anton Miranchuk
Borussia Mönchengladbach ,Switzerland,Delantero Centro|Medio centro ofensivo,23,Muy bueno,Breel Embolo
Free Agents ,Egypt,Medio centro ofensivo|Medio centro,31,Bueno,Tarek Hamed
Sassuolo ,Italy,Medio centro ofensivo|Medio centro,22,Muy bueno,Manuel Locatelli
SC Braga ,Brazil,Defensa central,30,Bueno,Raúl
AFC Bournemouth ,Wales,Medio derecho|Medio centro,23,Muy bueno,Harry Wilson
Valencia CF ,Spain,Portero,29,Bueno,Jaume
AFC Bournemouth ,Spain,Lateral izquierdo,27,Bueno,Diego Rico
Real Sociedad ,Spain,Lateral derecho,28,Bueno,Zaldúa
Junior FC ,Colombia,Delantero Centro,27,Bueno,Miguel Borja
Stade Rennais FC ,Mali,Carrilero derecho|Lateral derecho|Extremo izquierdo,28,Bueno,Hamari Traoré
RC Strasbourg Alsace ,France,Delantero Centro,26,Muy bueno,Ludovic Ajorque
Sporting CP ,Argentina,Medio centro ofensivo|Medio centro,29,Bueno,Rodrigo Battaglia
RCD Espanyol ,Argentina,Delantero Centro,26,Muy bueno,Jonathan Calleri
SD Eibar ,Argentina,Medio centro ofensivo|Medio centro,27,Muy bueno,Gonzalo Escalante
AS Monaco Football Club SA ,Chile,Defensa central,26,Bueno,Guillermo Maripán
Borussia Dortmund ,Germany,Medio centro ofensivo|Medio centro,24,Muy bueno,Mahmoud Dahoud
SC Braga ,Portugal,Carrilero izquierdo|Extremo izquierdo,29,Bueno,Sequeira
Marítimo ,Mozambique,Defensa central,32,Bueno,Zainadine
Atalanta ,Argentina,Defensa central,30,Bueno,José Luis Palomino
Real Betis ,Spain,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,27,Muy bueno,Álex Moreno
FC Nantes ,Nigeria,Delantero Centro|Medio derecho|Medio izquierdo,25,Muy bueno,Moses Simon
Cagliari ,Argentina,Delantero Centro,25,Muy bueno,Giovanni Simeone
Trabzonspor ,Norway,Delantero Centro,24,Muy bueno,Alexander Sørloth
Bayer 04 Leverkusen ,Brazil,Lateral izquierdo,27,Muy bueno,Wendell
Sivasspor ,Brazil,Lateral derecho|Defensa central,32,Bueno,Marcelo Goiano
Racing Club ,Argentina,Defensa central|Medio centro ofensivo,30,Bueno,Nery Domínguez
Dinamo Zagreb ,Croatia,Delantero Centro|Medio centro ofensivo,25,Muy bueno,Bruno Petkovic
San Lorenzo de Almagro ,Argentina,Defensa central,33,Bueno,Alejandro Donatti
Boca Juniors ,Argentina,Defensa central,30,Bueno,Lisandro López
Monterrey ,Argentina,Medio centro ofensivo|Medio centro,27,Muy bueno,Matías Kranevitter
Independiente ,Argentina,Delantero Centro|Medio derecho|Extremo izquierdo,32,Bueno,Silvio Romero
Boca Juniors ,Colombia,Lateral izquierdo,29,Bueno,Frank Fabra
Al Hilal ,Colombia,Medio centro ofensivo,27,Muy bueno,Gustavo Cuéllar
AFC Bournemouth ,Colombia,Medio centro ofensivo|Medio centro,25,Muy bueno,Jefferson Lerma
Club Brugge KV ,Colombia,Defensa central|Medio centro ofensivo|Medio centro,27,Muy bueno,Éder Balanta
Everton ,Nigeria,Medio izquierdo,24,Muy bueno,Alex Iwobi
Fiorentina ,Chile,Medio centro ofensivo|Medio centro,26,Muy bueno,Erick Pulgar
Milan ,Uruguay,Medio izquierdo,27,Bueno,Diego Laxalt
Stade Rennais FC ,France,Medio izquierdo|Extremo izquierdo,27,Bueno,Flavien Tait
Tianjin TEDA FC ,Ghana,Delantero Centro|Extremo izquierdo,26,Muy bueno,Frank Acheampong
Real Sociedad ,Spain,Defensa central,26,Muy bueno,Diego Llorente
Sheffield United ,England,Defensa central,26,Muy bueno,Jack O'Connell
SC Braga ,Portugal,Carrilero derecho|Extremo izquierdo,27,Bueno,Ricardo Esgaio
Club Brugge KV ,Belgium,Defensa central,27,Bueno,Brandon Mechele
R. Valladolid CF ,Spain,Lateral izquierdo,31,Bueno,Nacho
Sport-Club Freiburg ,Italy,Medio izquierdo|Media punta,27,Bueno,Vincenzo Grifo
Club Atlas ,Colombia,Portero,31,Bueno,Camilo Vargas
PSV ,Portugal,Extremo izquierdo|Extremo izquierdo,25,Bueno,Bruma
Vélez Sarsfield ,Argentina,Medio izquierdo|Extremo izquierdo|Extremo izquierdo,27,Bueno,Ricardo Centurión
Newcastle United ,Austria,Carrilero derecho|Lateral derecho|Medio derecho|Extremo izquierdo,24,Muy bueno,Valentino Lazaro
Celtic ,Scotland,Medio centro ofensivo|Medio centro|Medio centro ofensivo,27,Bueno,Callum McGregor
Aston Villa ,Scotland,Medio centro,25,Muy bueno,John McGinn
Free Agents ,Mexico,Medio izquierdo|Medio centro|Medio centro ofensivo,26,Muy bueno,Rodolfo Pizarro
SD Eibar ,Portugal,Defensa central,28,Bueno,Paulo Oliveira
VfL Wolfsburg ,Switzerland,Lateral derecho,25,Muy bueno,Kevin Mbabu
Sevilla FC ,Morocco,Portero,29,Bueno,Yassine Bounou
Montpellier Hérault SC ,France,Delantero Centro,26,Muy bueno,Gaëtan Laborde
Olympiacos CFP ,Brazil,Medio centro ofensivo|Medio centro,29,Bueno,Guilherme
Valencia CF ,Spain,Delantero Centro|Medio derecho,28,Bueno,Rubén Sobrino
Olympique de Marseille ,Japan,Lateral derecho|Lateral izquierdo,30,Bueno,Hiroki Sakai
OGC Nice ,France,Lateral derecho|Defensa central,27,Bueno,Christophe Hérelle
Club Brugge KV ,Angola,Lateral derecho|Defensa central|Medio derecho,27,Bueno,Clinton Mata
SL Benfica ,Greece,Medio centro ofensivo|Medio centro,31,Bueno,Andreas Samaris
Arsenal ,Bosnia & Herzegovina,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,27,Muy bueno,Sead Kolašinac
Olympique Lyonnais ,Burkina Faso,Medio derecho|Extremo izquierdo,24,Muy bueno,Bertrand Traoré
Tigres U.A.N.L. ,Argentina,Medio centro ofensivo|Medio centro,30,Bueno,Guido Pizarro
Paris Saint-Germain ,Spain,Portero,26,Bueno,Sergio Rico
Stade de Reims ,Morocco,Defensa central,32,Bueno,Yunis Abdelhamid
Juventus ,Italy,Lateral derecho|Lateral izquierdo,27,Bueno,Mattia De Sciglio
AEK Athens ,Croatia,Delantero Centro|Medio centro ofensivo|Media punta,26,Bueno,Marko Livaja
Cagliari ,Italy,Delantero Centro,31,Bueno,Leonardo Pavoletti
SV Werder Bremen ,Germany,Delantero Centro,27,Bueno,Niclas Füllkrug
Al Ahli ,Cape Verde,Delantero Centro|Medio derecho|Medio centro ofensivo,29,Bueno,Djaniny
Torino ,France,Medio centro ofensivo|Medio centro,26,Muy bueno,Soualiho Meïté
Tottenham Hotspur ,Argentina,Portero,28,Muy bueno,Paulo Gazzaniga
Getafe CF ,Morocco,Medio centro ofensivo|Medio centro,31,Bueno,Fayçal Fajr
Sheffield United ,Republic of Ireland,Defensa central,27,Bueno,John Egan
Orlando City Soccer Club ,Uruguay,Medio centro|Medio centro ofensivo|Extremo izquierdo,30,Bueno,Mauricio Pereyra
Seattle Sounders FC ,Peru,Delantero Centro,30,Bueno,Raúl Ruidíaz
Fortuna Düsseldorf ,Austria,Medio centro|Medio centro ofensivo,26,Bueno,Kevin Stöger
RSC Anderlecht ,Belgium,Portero,27,Muy bueno,Hendrik Van Crombrugge
SK Slavia Praha ,Czech Republic,Lateral derecho|Lateral izquierdo|Defensa central,29,Bueno,Jan Boril
VfL Wolfsburg ,United States,Defensa central,27,Muy bueno,John Brooks
SV Werder Bremen ,Germany,Medio derecho|Medio centro|Medio centro ofensivo,26,Bueno,Leonardo Bittencourt
VfL Wolfsburg ,Germany,Defensa central,28,Bueno,Robin Knoche
Southampton ,Denmark,Defensa central,27,Bueno,Jannik Vestergaard
Eintracht Frankfurt ,Germany,Carrilero derecho|Lateral derecho|Medio derecho|Extremo izquierdo,27,Bueno,Danny da Costa
RCD Espanyol ,Brazil,Defensa central,31,Bueno,Naldo
Valencia CF ,Italy,Lateral derecho,27,Bueno,Cristiano Piccini
TSG 1899 Hoffenheim ,Bosnia & Herzegovina,Defensa central,30,Bueno,Ermin Bicakcic
Bologna ,Italy,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,28,Bueno,Nicola Sansone
Hertha BSC ,Czech Republic,Medio centro ofensivo|Medio centro|Medio centro ofensivo,29,Bueno,Vladimír Darida
Fiorentina ,Croatia,Medio centro ofensivo|Medio centro,31,Bueno,Milan Badelj
Genoa ,France,Defensa central,28,Muy bueno,Adama Soumaoro
1. FC Köln ,Germany,Delantero Centro|Medio centro ofensivo|Media punta,28,Bueno,Mark Uth
Levante UD ,Spain,Defensa central,30,Bueno,Bruno
Free Agents ,Russia,Medio centro ofensivo|Medio centro,27,Bueno,Magomed Ozdoev
Sassuolo ,Equatorial Guinea,Medio centro ofensivo|Medio centro,28,Bueno,Pedro Obiang
PSV ,Germany,Portero,30,Bueno,Lars Unnerstall
Leicester City ,Belgium,Medio centro|Medio centro ofensivo,26,Muy bueno,Dennis Praet
Napoli ,France,Lateral derecho|Medio derecho,28,Bueno,Kévin Malcuit
Inter ,Italy,Lateral derecho|Lateral izquierdo|Defensa central,31,Bueno,Danilo D'Ambrosio
Southampton ,England,Medio izquierdo|Media punta,26,Bueno,Nathan Redmond
AZ ,Norway,Medio centro ofensivo|Medio centro,26,Bueno,Fredrik Midtsjø
AZ ,Norway,Lateral derecho,27,Bueno,Jonas Svensson
CD Tondela ,Portugal,Portero,28,Muy bueno,Cláudio Ramos
D. Alavés ,Spain,Medio centro ofensivo|Medio centro,32,Bueno,Tomás Pina
Granada CF ,Spain,Defensa central,33,Bueno,Germán
Monterrey ,Argentina,Delantero Centro,29,Bueno,Rogelio Funes Mori
Hertha BSC ,Belgium,Defensa central,29,Bueno,Dedryck Boyata
Crystal Palace ,Ghana,Delantero Centro|Medio derecho,28,Bueno,Jordan Ayew
Fulham ,Scotland,Medio centro|Medio centro ofensivo,29,Bueno,Tom Cairney
Brighton & Hove Albion ,Australia,Medio centro|Medio centro ofensivo,29,Bueno,Aaron Mooy
Manchester United ,England,Defensa central,28,Bueno,Phil Jones
Crystal Palace ,England,Delantero Centro|Medio derecho|Extremo izquierdo,29,Bueno,Andros Townsend
AS Saint-Étienne ,Tunisia,Delantero Centro|Medio centro ofensivo,29,Bueno,Wahbi Khazri
RC Celta ,Spain,Lateral derecho,29,Bueno,Hugo Mallo
Olympiacos CFP ,Morocco,Delantero Centro,33,Bueno,Youssef El Arabi
VfB Stuttgart ,Germany,Medio centro ofensivo|Media punta,30,Bueno,Daniel Didavi
Bologna ,Chile,Defensa central|Medio centro ofensivo,32,Bueno,Gary Medel
Brighton & Hove Albion ,Netherlands,Medio centro ofensivo|Medio centro,28,Bueno,Davy Pröpper
Watford ,Argentina,Medio izquierdo,29,Bueno,Roberto Pereyra
AFC Bournemouth ,England,Defensa central,29,Bueno,Steve Cook
AS Saint-Étienne ,France,Medio derecho|Media punta|Extremo izquierdo,33,Bueno,Romain Hamouma
Al Hilal ,Brazil,Medio izquierdo|Medio centro ofensivo,30,Bueno,Carlos Eduardo
Sheffield United ,Republic of Ireland,Carrilero izquierdo|Extremo izquierdo,30,Bueno,Enda Stevens
Burnley ,Iceland,Medio derecho|Medio izquierdo,29,Bueno,Jóhann Berg Gu?mundsson
Torino ,Venezuela,Medio centro ofensivo|Medio centro,32,Bueno,Tomás Rincón
FC Utrecht ,Netherlands,Portero,29,Bueno,Jeroen Zoet
Hellas Verona ,Italy,Portero,29,Bueno,Marco Silvestri
Norwich City ,Finland,Delantero Centro,30,Bueno,Teemu Pukki
Athletic Club ,Spain,Lateral derecho|Extremo izquierdo,31,Bueno,De Marcos
Medipol Basaksehir FK ,Turkey,Portero,31,Bueno,Mert Günok
Olympique Lyonnais ,Brazil,Lateral derecho,30,Bueno,Rafael
RCD Espanyol ,Spain,Lateral derecho|Medio centro ofensivo|Medio centro,32,Bueno,Victor Sánchez
West Ham United ,England,Medio centro ofensivo|Medio centro|Medio centro ofensivo,28,Bueno,Jack Wilshere
Al Ahli ,Brazil,Medio centro ofensivo|Medio centro,31,Bueno,Souza
Southampton ,England,Portero,30,Bueno,Alex McCarthy
Burnley ,England,Medio centro,30,Bueno,Ashley Westwood
Sheffield United ,Scotland,Medio centro,28,Bueno,John Fleck
New England Revolution ,Argentina,Delantero Centro|Medio centro ofensivo,30,Bueno,Gustavo Bou
VfL Wolfsburg ,Switzerland,Media punta|Extremo izquierdo|Extremo izquierdo,29,Bueno,Admir Mehmedi
AS Saint-Étienne ,Algeria,Medio derecho|Medio centro ofensivo,30,Bueno,Ryad Boudebouz
Club Atlético Lanús ,Argentina,Delantero Centro|Extremo izquierdo|Extremo izquierdo,32,Bueno,Lautaro Acosta
Levante UD ,Spain,Medio derecho|Medio centro|Medio centro ofensivo,29,Bueno,Rochina
PFC CSKA Moscow ,Russia,Medio centro ofensivo|Medio centro|Medio centro ofensivo,30,Bueno,Alan Dzagoev
Vitória Guimarães ,Brazil,Portero,37,Bueno,Douglas
Crystal Palace ,Senegal,Medio centro ofensivo|Medio centro,30,Bueno,Cheikhou Kouyaté
Granada CF ,Spain,Medio centro ofensivo,32,Bueno,Montoro
Sheffield United ,Northern Ireland,Medio centro,29,Bueno,Oliver Norwood
Galatasaray SK ,Brazil,Lateral derecho,34,Bueno,Mariano
Chongqing Dangdai Lifan FC SWM Team ,Brazil,Delantero Centro|Extremo izquierdo|Extremo izquierdo,31,Bueno,Alan Kardec
River Plate ,Argentina,Delantero Centro,32,Bueno,Lucas Pratto
Tianjin TEDA FC ,Germany,Delantero Centro,32,Bueno,Sandro Wagner
West Ham United ,Italy,Defensa central,32,Bueno,Angelo Ogbonna
Sport-Club Freiburg ,Germany,Delantero Centro,31,Bueno,Nils Petersen
Everton ,England,Lateral izquierdo|Medio centro ofensivo|Medio centro,30,Bueno,Fabian Delph
Crystal Palace ,France,Defensa central,30,Bueno,Mamadou Sakho
Newcastle United ,Republic of Ireland,Defensa central,30,Bueno,Ciaran Clark
Watford ,England,Delantero Centro,32,Bueno,Troy Deeney
Cruz Azul ,Paraguay,Defensa central,33,Bueno,Pablo Aguilar
Fiorentina ,Uruguay,Lateral derecho|Defensa central,33,Bueno,Martín Cáceres
Olympique Lyonnais ,Brazil,Defensa central,33,Bueno,Marcelo
Stade Rennais FC ,France,Defensa central,32,Bueno,Damien Da Silva
BSC Young Boys ,Serbia,Medio izquierdo,31,Bueno,Miralem Sulejmani
LOSC Lille ,France,Delantero Centro,33,Bueno,Loïc Rémy
Galatasaray SK ,Netherlands,Defensa central|Medio centro ofensivo,34,Bueno,Ryan Donk
PAOK ,Portugal,Lateral derecho|Medio derecho|Medio izquierdo,34,Bueno,Vieirinha
Free Agents ,Sweden,Delantero Centro|Media punta,33,Bueno,Marcus Berg
Cagliari ,Slovenia,Medio centro ofensivo|Extremo izquierdo,33,Bueno,Valter Birsa
KAA Gent ,Belgium,Medio centro ofensivo|Medio centro,31,Bueno,Vadis Odjidja-Ofoe
Manchester City ,Chile,Portero,37,Bueno,Claudio Bravo
CA Osasuna ,Spain,Delantero Centro|Medio izquierdo,32,Bueno,Adrián López
Crystal Palace ,England,Defensa central,31,Bueno,James Tomkins
FC Red Bull Salzburg ,Austria,Medio izquierdo|Medio centro|Medio centro ofensivo,32,Bueno,Zlatko Junuzovic
SV Werder Bremen ,Finland,Defensa central,34,Bueno,Niklas Moisander
D. Alavés ,Spain,Medio centro ofensivo|Medio centro,34,Bueno,Manu García
River Plate ,Argentina,Delantero Centro,35,Bueno,Ignacio Scocco
Southampton ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,30,Bueno,Ryan Bertrand
LDU Quito ,Ecuador,Lateral derecho|Medio centro ofensivo,34,Bueno,Antonio Valencia
Shandong Luneng TaiShan FC ,Italy,Delantero Centro,35,Bueno,Graziano Pellè
Santos Laguna ,Mexico,Portero,34,Bueno,Jonathan Orozco
Real Betis ,Spain,Defensa central|Medio centro ofensivo|Medio centro,33,Bueno,Javi García
