Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Animation,ja,2016-08-10,7.6,Extra; remembers; Trunks,Dragon Ball Z Special 9 - Future Trunks Special
"Fantasy, Drama, Crime",en,1999-12-10,8.5,power; giant; stave,The Green Mile
"Horror, Mystery, Thriller",en,2021-03-05,6.2,whirlwind; along; music,Dreamcatcher
"Thriller, Horror",en,2014-08-25,5.6,celebration; Dan; turning,The Remaining
Comedy,en,2012-04-04,6.3,break; weekend; changed,American Reunion
Comedy,en,2009-03-11,6.3,body; hes; Mike,17 Again
Horror,en,2020-09-21,6.4,scientist; care; unconventional,The Scientist
"Animation, Family, Comedy, Fantasy",en,2018-11-08,6.8,scheme; annual; ruin,The Grinch
"Romance, Drama",da,2021-06-24,5.7,gambled; They; Malus,A Taste of Hunger
Comedy,en,2013-05-23,6.2,This; bets; off,The Hangover Part III
"Action, Drama, War",fr,2011-11-02,6.7,dispatched; War; prey,Special Forces
Romance,zh,2021-04-16,2.0,Xiao; crushes; easily,August Never Ends
"Animation, Drama, Romance, Family",ja,2018-09-01,8.3,diagnosed; crush; make,I Want to Eat Your Pancreas
"Thriller, Action, Drama",fr,2021-03-05,5.9,skills; soldier; trained,Sentinelle
"Action, Adventure, Comedy, Drama, Fantasy, Animation",ja,2009-08-01,7.3,begin; inheriting; charms,Naruto Shippuden the Movie: The Will of Fire
"Animation, Family, Adventure, Fantasy, Romance",en,1992-11-25,7.6,Jafar; tired; palace,Aladdin
"Horror, Mystery, Family",en,2021-10-05,5.3,viewers; Undertaker; Undertakers,Escape the Undertaker
"Family, Comedy, Fantasy",en,2000-11-17,6.7,Grinch; yet; sort,How the Grinch Stole Christmas
"Action, Adventure, Science Fiction",en,2019-12-18,6.4,Rey; behind; again,Star Wars: The Rise of Skywalker
"Action, Fantasy, Thriller",en,2011-03-24,6.1,envisions; alternative; reality,Sucker Punch
"Action, Thriller, Drama",es,2009-11-06,7.5,prisoner; prison; poses,Cell 211
"Action, Comedy, Science Fiction",en,2015-07-16,5.7,1980sera; military; York,Pixels
"Crime, Drama, Mystery",en,2021-06-24,6.4,whats; brought; criminals,No Sudden Move
"Animation, Drama, Family",en,1942-08-14,7.0,forest; Bambis; tale,Bambi
"Comedy, Romance",en,2008-12-09,6.6,say; across; yes,Yes Man
Horror,en,2021-01-12,4.9,meat; dead; crosses,Butchers
Horror,en,1973-05-31,7.7,Regan; between; Karras,The Exorcist
"Horror, Science Fiction",en,2020-08-26,6.3,secret; just; discovering,The New Mutants
"Crime, Drama, Action, Thriller, Science Fiction",en,2010-03-20,5.4,tournament; governments; World,TEKKEN
Animation,tr,2021-10-07,7.2,Halloween; Daisy; With,Mickey's Tale of Two Witches
Drama,en,2018-02-01,6.4,each; contemporary; these,Euphoria
"Animation, Family",en,1941-10-31,7.0,diminutive; ears; buddy,Dumbo
"Horror, Comedy",en,2021-06-25,6.2,snowstorm; between; peace,Werewolves Within
"Fantasy, Adventure",en,2012-03-28,5.7,Kronos; losing; lack,Wrath of the Titans
"Action, Mystery, Thriller",en,2011-02-16,6.7,With; identity; taken,Unknown
"Action, Science Fiction, Horror, TV Movie",en,2018-08-10,5.7,monstrous; defend; themselves,Megalodon
Horror,en,1974-10-01,7.3,investigate; brother; next,The Texas Chain Saw Massacre
"Science Fiction, Crime, Animation, Mystery, Action",en,2019-07-19,7.3,Waynes; well; Kyle/Catwoman,Batman: Hush
"Family, Animation, Science Fiction, Comedy, TV Movie",en,2020-08-28,7.5,travel; older; utopia,Phineas and Ferb: The Movie: Candace Against the Universe
"Animation, Family, Fantasy, Adventure",en,1951-07-28,7.2,Alices; songs; topsyturvy,Alice in Wonderland
"Animation, Drama, Romance, Fantasy",ja,2020-06-18,8.0,pursues; carrying; Muge,A Whisker Away
"Comedy, Romance, Fantasy",pt,2021-12-26,6.0,MRI; begins; ambitious,Lulli
"Adventure, Animation, Comedy, Family",en,2019-05-24,7.0,changes; canineintolerant; scary,The Secret Life of Pets 2
Thriller,en,2021-04-30,6.3,No; quarry; Nothing,The Virtuoso
Documentary,en,2021-08-12,7.3,trained; Korea; Kim,Assassins
"Action, Animation, Science Fiction",ja,1991-03-19,6.4,best; Z; Earth,Dragon Ball Z: Lord Slug
Comedy,en,2018-06-27,6.7,tournament; recruits; players,Uncle Drew
"Action, Adventure, Comedy, Fantasy, Animation",ja,2017-05-06,6.6,once; island; secrets,Fairy Tail: Dragon Cry
"Horror, Science Fiction, Mystery",en,2021-06-11,5.2,rich; last; prize,Dinosaur Hotel
"Drama, History, War",en,1998-07-24,8.2,territory; troops; three,Saving Private Ryan
"Action, Adventure, Science Fiction, Thriller",en,2015-03-18,6.4,society; tear; alliance,Insurgent
"Comedy, Romance",en,2011-01-21,6.3,perfect; relationship; fling,No Strings Attached
"Horror, Action, Thriller",en,2018-07-04,6.0,community; across; meets,The First Purge
"Action, Adventure, Crime",en,2017-01-13,5.8,unstoppable; set; cohorts,xXx: Return of Xander Cage
Comedy,en,2014-05-21,6.8,relationship; families; date,Blended
"Action, Adventure, Science Fiction, Fantasy",en,2015-12-15,7.3,Han; Kylo; face,Star Wars: The Force Awakens
Horror,en,2021-04-23,5.7,singer; secluded; teams,Bloodthirsty
"Action, Adventure, Fantasy",en,2016-08-03,5.9,exchange; Squad; highrisk,Suicide Squad
Horror,en,2021-03-26,5.6,renowned; deeper; teams,The Seventh Day
"Crime, Horror, Mystery",en,1996-12-20,7.3,living; known; body,Scream
"Adventure, Animation, Family",en,2015-11-14,6.7,journey; Arlo; friend,The Good Dinosaur
"Action, Animation, Fantasy",ja,2014-06-21,6.5,Sanctuary; powers; Warriors,Saint Seiya: Legend of Sanctuary
"Thriller, Horror",en,2020-09-10,6.2,widowed; elements; forced,Alone
"Animation, Action, Comedy",en,2021-06-30,5.8,George; down; bro,America: The Motion Picture
"Action, Adventure, Fantasy",en,2017-03-08,6.5,dangerous; island; ventures,Kong: Skull Island
"Comedy, Horror",en,2009-10-07,7.3,Tallahassee; theyre; fears,Zombieland
"Horror, Thriller, Mystery",en,2019-06-26,6.4,doll; target—the; placing,Annabelle Comes Home
"Action, Comedy, Family",zh,2009-07-03,4.4,action; Master; some,Jackie Chan Kung Fu Master
Documentary,en,2004-10-27,5.0,writers; 30; This,Thinking XXX
"Horror, Fantasy, Action, Science Fiction",ja,2015-08-01,5.9,lived; peace; walls,Attack on Titan
"Drama, Music",tr,2022-01-21,8.0,aloof; emotionally; shared,My Father's Violin
"Romance, Comedy",es,2021-09-01,8.0,actress; successful; channel,Millonario sin amor
"Adventure, Action, Science Fiction",en,2010-12-14,6.4,quests; real; evil,TRON: Legacy
"Action, Drama, Science Fiction",en,2014-05-14,6.3,Francisco; colossal; make,Godzilla
"Action, Comedy, Science Fiction",en,2012-05-23,6.5,K; much; future,Men in Black 3
"Family, Music, Adventure, Comedy, Fantasy, TV Movie",en,2015-07-31,7.1,Jay; King; Queen,Descendants
"Fantasy, Animation, Romance, Family",en,1959-02-17,6.9,fairies; curse; just,Sleeping Beauty
"Horror, Thriller",en,2017-01-19,7.3,Casey; —; Fletcher,Split
"Action, Crime, Thriller",en,2021-04-16,5.8,courier; bidding; guns,Vanquish
"Action, Crime, Drama",en,2020-08-07,5.7,Angeles; David; across,The Tax Collector
"Action, Animation, Adventure",ja,2017-06-30,6.8,Z; Saiyan; series,Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai
"Fantasy, Horror, Action",en,2013-01-17,6.0,face; greater; far,Hansel & Gretel: Witch Hunters
"Animation, Action, Fantasy, Adventure",ja,2019-05-10,7.1,events; castle; Kabaneri,Kabaneri of the Iron Fortress: The Battle of Unato
"Animation, Action, Fantasy",zh,2021-02-06,8.3,powers; ones; rediscover,New Gods: Nezha Reborn
"Action, Adventure, Science Fiction",en,2015-11-18,6.9,stage; District; await,The Hunger Games: Mockingjay - Part 2
Thriller,en,2021-05-05,6.8,wilderness; protect; expert,Those Who Wish Me Dead
"Family, Adventure, Fantasy",en,2021-11-25,7.6,snowy; Blitzen; mouse,A Boy Called Christmas
"Fantasy, Romance, Comedy",en,2021-09-03,6.6,big; come; perseveres,Cinderella
"Adventure, Animation, Comedy, Family",en,1961-01-25,7.2,too; fall; parents,One Hundred and One Dalmatians
"Animation, Action, Adventure, Science Fiction",ja,2008-09-21,6.3,premiered; film; Dragon,Dragon Ball: Yo! Son Goku and His Friends Return!!
"Romance, Comedy",en,2018-05-11,7.3,best; hottest; romance,The Kissing Booth
"Thriller, Crime",en,2013-05-29,7.4,performances; during; An,Now You See Me
"Action, Horror, Thriller",en,2016-06-29,6.4,security; Roan; Barnes,The Purge: Election Year
"Romance, Comedy, Fantasy",en,2021-02-11,7.0,ahead; year; wedding,Long Story Short
"Action, Adventure, Comedy, Fantasy, Romance, Animation",ja,2019-02-15,7.8,Artemis; monsters; Sword,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion
"Comedy, Horror",en,2013-01-11,5.7,Kisha; track; dream,A Haunted House
"Drama, Crime, Thriller",fr,2010-03-23,6.6,Marseilles; Charly; led,22 Bullets
"Family, Comedy",en,1996-11-27,5.9,steal; extravagant; instead,101 Dalmatians
"Family, Animation, Adventure",en,1967-10-18,7.3,boy; hypnotic; Mowgli,The Jungle Book
"Horror, Fantasy",en,2017-09-06,7.2,come; Club; Losers,It
"Family, Animation, Comedy, Fantasy, Adventure, Music",en,2020-03-11,7.4,Troll; between; big,Trolls World Tour
"Comedy, Action, Romance, Adventure",en,2022-03-24,0.0,both; kidnapping; paperback,The Lost City
Comedy,en,2021-08-27,7.2,crazy; vacation; discover,Vacation Friends
"Action, Thriller, Adventure",en,2011-12-07,7.0,globe; United; aided,Mission: Impossible - Ghost Protocol
"Thriller, Crime, Drama",en,2021-01-28,6.4,could; secrets; investigation,The Little Things
"Action, Drama, Horror, Thriller",ja,2017-07-16,7.0,attacked; run; student,Tokyo Ghoul
"Action, Thriller",en,2014-10-22,7.4,took; gangsters; Exhitman,John Wick
"Family, Animation, Comedy, Fantasy",en,2015-09-21,6.8,supernatural; day; Hotel,Hotel Transylvania 2
"Adventure, Action, Comedy, Fantasy",en,2017-12-09,6.8,rhinos; survive; mambas,Jumanji: Welcome to the Jungle
"Crime, Drama, Mystery, Thriller",en,2014-09-18,6.3,investigator; kingpin; Private,A Walk Among the Tombstones
"Fantasy, Action, Horror",en,2012-01-19,6.3,death; species; survival,Underworld: Awakening
"Comedy, Drama",es,2012-03-29,6.3,shocked; raised; parents,Young and Wild
"Thriller, Crime, Action",en,2015-01-14,5.6,trouble; skills; Las,Wild Card
"Romance, Drama",ko,2019-08-28,7.9,sets; apart; streaming,Tune in for Love
"Action, Fantasy",zh,2011-09-27,6.2,advances; Chinese; falls,The Sorcerer and the White Snake
Horror,es,2021-04-15,4.6,fractured; visit; house,The Funeral Home
"Animation, Family, Adventure, Fantasy",en,1953-02-05,7.2,foil; good; follow,Peter Pan
"Science Fiction, Action, Adventure",en,2017-12-13,6.9,develops; First; unsettled,Star Wars: The Last Jedi
"Animation, Adventure, Comedy, Family, Fantasy",en,2014-10-01,7.5,following; expectations; Before,The Book of Life
"Action, Adventure, Science Fiction",en,2018-12-15,6.7,junkyard; VW; trying,Bumblebee
"Animation, Fantasy, Romance, Drama",ja,2018-02-24,8.3,human; They; knows,Maquia: When the Promised Flower Blooms
"Horror, Comedy",en,2019-11-21,6.3,away; throws; Jack,Benny Loves You
"Drama, Comedy",en,2021-11-26,7.1,Gary; growing; navigation,Licorice Pizza
"Animation, Family",en,2020-07-23,7.3,Chuck; cartoon; reporter,The Larva Island Movie
Drama,en,2020-04-21,6.3,verge; test; struggling,Finding Grace
"Action, Animation, Crime, Drama",en,2016-07-24,6.6,Clown; point; Crime,Batman: The Killing Joke
"Horror, Thriller",en,2019-10-24,6.4,app; live; away,Countdown
Comedy,en,1996-01-12,6.9,gangbanging; LA; straight,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Horror,en,2021-03-11,5.8,client; Muller; old,Stay Out of the Attic
"Horror, Science Fiction, Mystery",en,2017-05-09,6.0,expedition; dark; doomed,Alien: Covenant
"Action, Adventure, Science Fiction",en,2014-03-14,6.9,classified; shes; learns,Divergent
"Action, Science Fiction, Thriller",en,2017-10-13,6.1,gone; wrong; climate,Geostorm
"Action, Drama, Science Fiction",ko,2013-08-14,7.5,extreme; toll; pandemic,The Flu
Horror,ru,2020-02-27,6.0,comfort; quickly; remember,Baba Yaga: Terror of the Dark Forest
"Romance, Comedy",en,2016-01-28,4.9,relationship; inexperienced; whose,Fifty Shades of Black
"War, Drama, History",en,2008-05-07,7.9,striped; imprisonment; camps,The Boy in the Striped Pyjamas
"Fantasy, Adventure, Family, Drama",en,2016-09-27,6.8,intent; transported; destroying,Miss Peregrine's Home for Peculiar Children
"Animation, Action, Adventure, Fantasy",zh,2019-08-16,6.9,Avatar; series; animated,The King's Avatar: For the Glory
Thriller,de,2021-08-17,6.1,student; dark; grows,Black Island
"Action, Adventure, Animation, Comedy, Family",en,2016-01-23,6.8,Po; awesomeness; Continuing,Kung Fu Panda 3
"Animation, Adventure, Comedy, Family",es,2017-03-25,6.5,presentation; traveling; lifetime,"Tad, the Lost Explorer, and the Secret of King Midas"
"Fantasy, Animation, Comedy",zh,2015-07-10,7.0,roamed; cage; mountains,Monkey King: Hero Is Back
"Comedy, Drama",en,2012-06-14,5.7,Donny; wedding; teens,That's My Boy
"Animation, War, Science Fiction",en,2021-04-27,7.7,middle; World; War,Justice Society: World War II
"Adventure, Animation, Comedy, Family",en,2006-11-09,6.0,visit; talent; dogs,The Fox and the Hound 2
"Animation, Family, Science Fiction",en,2008-06-22,8.1,last; humanlike; humans,WALL·E
"Romance, Drama",en,2019-03-14,8.3,boundaries; maintain; impossibly,Five Feet Apart
"Action, Crime",en,2017-06-28,7.5,getaway; driver; heist,Baby Driver
"Crime, Action, Thriller",en,2011-05-20,6.1,tough; dispatched; down,Blitz
"Animation, Action, War, Fantasy",ja,2019-02-08,8.0,Federation; troops; victory,Saga of Tanya the Evil: The Movie
"Family, TV Movie, Music, Adventure, Fantasy",en,2019-08-02,7.9,return; Auradon; villains,Descendants 3
"Drama, Crime",en,2021-02-26,7.5,PTSD; medic; anchored,Cherry
"Thriller, Drama, Horror",en,2021-10-27,6.1,intense; deadly; renowned,Hypnotic
"Thriller, Mystery, Horror, Crime",en,2019-09-11,7.0,Harper; struggles; Jackie,I See You
Drama,en,2021-12-17,6.7,JR; pursue; dilapidated,The Tender Bar
"Adventure, Family, Fantasy",en,2008-05-15,6.6,Now; dwarf; whose,The Chronicles of Narnia: Prince Caspian
Drama,es,2021-10-08,6.9,women; unmarried; hospital,Parallel Mothers
"Drama, Thriller, Action, Adventure",en,2012-01-26,6.6,fiveweek; civilization; southward,The Grey
"Animation, Family, Comedy, Adventure",en,2012-06-06,6.6,Yorks; hide; French,Madagascar 3: Europe's Most Wanted
"Action, Thriller, Drama",en,2019-09-19,6.5,crossing; now; rest,Rambo: Last Blood
"Adventure, Action, Fantasy",en,1999-04-16,6.8,Priest; than; High,The Mummy
"Animation, Family, Comedy, Adventure",en,2020-07-09,7.2,neverbefore; detectives; unleash,Scoob!
"Science Fiction, Action, Adventure",en,2008-06-12,6.2,powers; military; foe,The Incredible Hulk
"Action, Science Fiction",en,2014-07-25,6.4,evolved; captors; warrior,Lucy
Drama,en,2021-12-16,6.6,past; forces; dark,The Lost Daughter
"Horror, Mystery, Thriller",en,2017-08-03,6.6,makers; several; doll,Annabelle: Creation
"Drama, Science Fiction, War",en,2017-07-11,7.1,ruthless; led; face,War for the Planet of the Apes
"Animation, Family, Adventure, Comedy",en,2017-12-09,7.2,strong; around; grows,Ferdinand
"Thriller, Comedy, Crime, Action",en,2017-08-16,6.9,gets; trial; testify,The Hitman's Bodyguard
"Horror, Thriller",en,2012-10-23,5.4,throngs; cannibals; inbred,Wrong Turn 5: Bloodlines
"Action, Comedy",en,2010-06-15,6.2,sometimes; nothing; alliances,Knight and Day
"Romance, Drama, Thriller",ko,2018-03-14,6.7,previously; popular; “Cheese,Cheese in the Trap
"Adventure, Action, Thriller, Science Fiction",en,2003-11-05,6.7,city; machines; defends,The Matrix Revolutions
"Comedy, Horror",en,2009-10-27,4.3,hes; smoking; locked,Stan Helsing
"Romance, Animation, Fantasy",zh,2019-01-11,7.8,village; hanging; deeper,White Snake
"Action, Adventure",en,2014-07-23,5.7,far; These; god,Hercules
Drama,en,2021-11-02,5.3,peeling; costs; friend,Skipping Stones
"Horror, Thriller",en,2011-10-17,5.7,snowstorm; maneating; deserted,Wrong Turn 4: Bloody Beginnings
"Science Fiction, Horror, Thriller",en,2013-05-31,6.3,illegal; Given; these,The Purge
"Action, Fantasy, Comedy",en,2016-07-14,5.4,Following; band; together,Ghostbusters
"Animation, Action, Fantasy, Comedy",ja,2019-03-29,7.9,focuses; forces; evil,Trinity Seven 2: Heaven's Library & Crimson Lord
"Horror, Mystery",en,2011-04-11,6.4,danger; married; Sheriff,Scream 4
"Action, Adventure, Fantasy, TV Movie",en,2014-10-07,4.6,warrior; greater; far,Viking Quest
"Action, Western, Drama, Fantasy, Thriller",en,2010-06-18,4.9,task; track; hell,Jonah Hex
"Animation, Adventure, Family, Music",en,2021-10-09,7.3,bird; begins; journey,Robin Robin
"Horror, Thriller",pl,2020-03-13,5.0,offline; technology; sinister,Nobody Sleeps in the Woods Tonight
"Drama, Thriller, Crime",en,2011-09-15,7.6,lately; vengeful; Drivers,Drive
"Animation, Action, Science Fiction, Comedy, Adventure",en,2022-10-07,0.0,Gwen; neighborhood; villain,Spider-Man: Across the Spider-Verse (Part One)
"Science Fiction, Drama",en,2017-10-04,7.5,secret; events; left,Blade Runner 2049
"Action, Animation, Science Fiction, Family",en,2007-09-18,6.7,DC; publications; creature,Superman: Doomsday
Science Fiction,en,2009-08-05,7.4,Not; United; African,District 9
"Animation, Comedy, Adventure, Family",en,2019-08-02,7.2,common; ice; threat,The Angry Birds Movie 2
Horror,en,2020-05-12,6.3,assigned; suspected; once,A Nun's Curse
"Action, Drama, Thriller",en,2013-06-27,6.4,wanting; Secret; down,White House Down
"Science Fiction, Action, Adventure",en,2009-05-06,7.4,farm; boy; raised,Star Trek
"Action, Thriller",en,2008-02-18,7.4,stops; than; kidnapped,Taken
"Fantasy, Family, TV Movie",en,2020-07-31,7.3,prove; Nory; magic,Upside-Down Magic
"Family, Animation, Adventure, Comedy, Fantasy",en,2020-02-29,7.8,brothers; fantasy; discover,Onward
"Science Fiction, Action, Adventure, Comedy",en,2018-09-05,5.6,exsoldiers; race; scientists,The Predator
Drama,en,2016-03-17,7.4,unfolds; searches; specialists,Miracles from Heaven
"Comedy, Horror",en,2014-04-17,6.1,ex; afresh; children,A Haunted House 2
"Drama, Adventure, Science Fiction",en,2015-09-30,7.7,behind; Mark; Watney,The Martian
"Action, Animation, Comedy, Family, Adventure",en,2017-06-15,6.4,achieving; Balthazar; stop,Despicable Me 3
"Drama, Crime",es,2019-06-28,7.6,adult; could; move,Chicuarotes
Drama,en,2016-10-21,7.5,Columbine; Rachel; Joy,I'm Not Ashamed
"Drama, Western",en,2012-12-25,8.1,plantation; Mississippi; sets,Django Unchained
"Action, Adventure, Drama, Thriller",en,2021-06-24,7.1,diamond; mine; miners,The Ice Road
"Adventure, Fantasy, Action",en,2011-01-07,5.4,Black; devastated; knights,Season of the Witch
"Action, Thriller",en,2013-03-20,6.4,trapped; House; respond,Olympus Has Fallen
"Action, Science Fiction, Adventure, Thriller",en,2012-08-02,6.0,procedure; Quaid; memories,Total Recall
"Animation, Family, Comedy",en,2004-09-28,7.5,retelling; modern; musical,Barbie as The Princess & the Pauper
"Science Fiction, Action",en,2020-12-17,4.4,think; people; its,Breach
"Thriller, Science Fiction, Mystery",en,2011-06-08,6.7,movie; several; behind,Super 8
"Action, Adventure, Comedy, Science Fiction",en,2021-04-09,5.7,childhood; commonplace; supervillains,Thunder Force
Drama,en,2018-03-30,7.0,local; tragedy; down,God's Not Dead: A Light in Darkness
"Romance, Comedy, Drama",en,2021-12-02,6.5,Peter’s; perpetual; pretend,Single All the Way
"Drama, Mystery",en,2018-08-20,7.0,lifetime; journalist; claims,An Interview with God
"Thriller, Horror, Drama",en,2021-02-12,7.2,neighbor; believes; exists,Fear of Rain
Horror,en,1988-11-08,6.6,discover; birthday; gives,Child's Play
"Action, Adventure, Science Fiction",en,2018-04-12,6.5,unshakable; fighting; To,Rampage
Animation,en,2021-05-14,7.4,journey; cruise; cross,Barbie & Chelsea: The Lost Birthday
"Adventure, Action, Thriller, Science Fiction",en,2003-05-15,7.0,piece; Smith; enough,The Matrix Reloaded
"Mystery, Horror",en,2021-07-14,7.3,finally; towns; gripped,Fear Street: 1666
"Adventure, Action, Fantasy",en,2001-05-04,6.3,O’Connell; isn’t; Anubis’s,The Mummy Returns
"Family, Animation, Mystery, Comedy",en,2020-10-06,8.0,Cove; Dark; gigantic,"Happy Halloween, Scooby-Doo!"
"Thriller, Horror",en,2021-02-26,5.6,Two; things; terribly,Safer at Home
"Animation, Action, Science Fiction, Drama, Fantasy",ja,1990-10-17,7.5,Friezas; race; Bardock,Dragon Ball Z: Bardock - The Father of Goku
"Family, Adventure, Animation, Comedy",en,2008-10-30,6.4,animals; Alex; better,Madagascar: Escape 2 Africa
"Animation, Comedy, Family",en,2006-11-16,6.1,soul; sing; tap,Happy Feet
"Romance, Comedy",en,2021-07-29,7.3,taking; Erica; ends,Resort to Love
"Adventure, Comedy, Fantasy, Family",en,2014-12-17,6.2,Ahkmenrah; Tablet; quest,Night at the Museum: Secret of the Tomb
"Drama, Science Fiction",en,2021-12-17,7.4,shield; Cameron; near,Swan Song
"Mystery, Thriller",en,2013-01-29,6.9,shortorder; encounters; clairvoyant,Odd Thomas
"Comedy, Romance",en,2009-07-10,5.9,highschool; declaration; reflection,"I Love You, Beth Cooper"
"Horror, Comedy",en,2020-02-18,4.8,Finally; door; horror,Fat Ass Zombies
"Family, Animation",en,2000-11-07,6.6,gift; Book; brothers,Joseph: King of Dreams
"Thriller, Drama, Science Fiction",en,2019-01-16,6.7,critical; shadowy; secrets,Glass
Comedy,en,2007-03-20,7.2,codependent; deal; forced,Superbad
"Fantasy, Action, Horror",en,2005-02-08,7.0,contemporary; sister; angels,Constantine
"Family, Animation, Romance, Fantasy",en,2002-02-23,6.1,your; come; quickly,Cinderella II: Dreams Come True
Drama,en,1997-09-27,7.1,Humbert; professor; nymphet,Lolita
"Action, Thriller, Crime",en,2009-03-19,5.9,killed; enacts; Police,12 Rounds
"Thriller, Action, Fantasy",en,2007-01-15,5.5,Roxanne; Roxanne; release,Ghost Rider
"Adventure, Comedy, Science Fiction",en,2011-02-14,6.7,outlived; contains; earthlings,Paul
"Action, Thriller, Crime",en,2018-07-19,6.6,oppressed; longtime; justice,The Equalizer 2
"Fantasy, Animation, Family",en,1993-10-09,7.8,scaring; Christmas; ghoulish,The Nightmare Before Christmas
"Animation, Fantasy, Adventure, Action, Family",en,2019-10-25,8.2,hearts; since; shared,How to Train Your Dragon: Homecoming
Thriller,en,2021-04-08,5.7,investigating; small; local,Women
"Adventure, Fantasy, Action, Western, Thriller",en,2010-12-01,6.6,warriorassassin; small; mission,The Warrior's Way
"Horror, Action, War",en,2021-01-01,5.8,evil; Flying; secret,Shadow in the Cloud
"Crime, Action, Comedy",en,2013-04-18,6.2,musclemen; Paul; there,Pain & Gain
"Family, Animation, Comedy",en,2004-02-06,6.6,African; Pumbaa; This,The Lion King 1½
"Animation, Comedy, Family, Mystery, Adventure, Fantasy",en,2021-02-22,8.0,gang; chivalrous; sorceress,Scooby-Doo! The Sword and the Scoob
"Action, Adventure, Thriller",en,2012-08-08,6.3,Church; should; job,The Expendables 2
Horror,en,2009-01-01,3.6,crew; jungle; arise,Uncharted
"Horror, Thriller",en,2003-05-30,6.3,disfigured; carload; West,Wrong Turn
"Drama, Documentary",es,2018-03-22,7.6,service; city; American,Héctor El Father: Conocerás la verdad
"Horror, Drama, Science Fiction",en,2018-04-03,7.4,sound; live; silence,A Quiet Place
"Drama, Mystery, Thriller",id,2021-10-08,7.0,cause; scholarship; happened,Photocopier
"Family, Animation, Comedy, Action, Adventure",en,2005-10-11,7.0,owner; Fabulous; Toms,Tom and Jerry: The Fast and the Furry
"Action, Horror, Science Fiction",en,2020-08-25,6.0,biologist; show; we,Deep Blue Sea 3
"Crime, Action, Drama, Thriller",en,1993-02-05,8.1,sent; influence; Based,Bound by Honor
"Adventure, Action, Science Fiction",en,2013-11-15,7.4,prepares; Tour; competition,The Hunger Games: Catching Fire
"Action, Thriller",en,2008-01-24,6.6,fail; behalf; action,Rambo
"Action, Drama, Thriller, History",en,2006-12-07,7.5,violent; awaits; make,Apocalypto
"Family, Fantasy, Adventure",en,2010-03-03,6.6,child; 19; discover,Alice in Wonderland
Science Fiction,en,2022-01-06,5.2,An; resources; without,Project Gemini
"Thriller, Horror",sv,2021-02-11,5.9,shooter; unknown; rekindle,Red Dot
"Music, Drama, History",en,2018-10-24,8.0,May; amid; songs,Bohemian Rhapsody
"Drama, Action, History",en,2019-11-13,8.0,Carroll; car; build,Ford v Ferrari
"Animation, Action, Adventure, Fantasy, Romance, Science Fiction",ja,2017-02-18,7.7,incident; rewards; Augma,Sword Art Online: The Movie – Ordinal Scale
"Drama, Romance",fr,2011-10-06,5.4,crisis; countrywide; Cécile,Desire
"Family, Adventure, Comedy, Animation",en,2014-03-19,6.5,fit; wilds; fatherinlaw,Rio 2
"Action, Adventure, Thriller, War",en,1985-05-21,6.6,return; Rambo; hed,Rambo: First Blood Part II
"Comedy, Family, Adventure",en,1992-11-19,6.7,room; ends; Christmas,Home Alone 2: Lost in New York
"Animation, Family",en,2011-05-25,6.9,Viper; weapon; threatened,Kung Fu Panda 2
"Drama, Crime",en,2009-05-21,6.1,Katrina; immigrants; heroic,Bad Lieutenant: Port of Call - New Orleans
"Drama, Crime",en,1974-12-20,8.6,Corleone; attempts; New,The Godfather: Part II
"Crime, Fantasy, Drama",en,2006-09-13,7.3,JeanBaptiste; finest; perfume,Perfume: The Story of a Murderer
"Horror, Thriller, Action",de,2021-07-23,7.1,secret; dark; unleash,Blood Red Sky
"Science Fiction, Action, Thriller",en,2019-10-02,6.4,ready; cloned; call,Gemini Man
"Drama, Fantasy, Comedy",en,2009-02-17,6.2,quickly; victim; focus,Dead Like Me: Life After Death
"Drama, Romance",en,2017-11-07,5.1,patience; sexuality; level,Feels Like Euphoria
"Romance, Drama",en,2004-06-25,7.9,aloud; centered; words,The Notebook
"Animation, Romance, Family, Fantasy",en,2007-02-06,6.5,its; history; Fairy,Cinderella III: A Twist in Time
"Action, Drama, Adventure",zh,2015-02-19,6.3,Regions; hand; Western,Dragon Blade
Thriller,en,2021-08-25,6.7,interested; turns; sex,The Voyeurs
"Science Fiction, Fantasy, Action",en,2015-02-04,5.4,strife; strategic; maneuvers,Jupiter Ascending
"Drama, Romance",en,2021-12-22,7.4,infant; begins; deployed,A Journal for Jordan
"Comedy, Drama, Romance",en,2008-08-15,6.7,girls; buy; Sixteenyearold,Wild Child
"Action, Science Fiction, Thriller, Western",en,2011-07-29,5.6,Dolarhyde; Absolution; shackle,Cowboys & Aliens
"Comedy, Horror, Thriller",en,2019-08-21,7.1,inlaws; turn; night,Ready or Not
Comedy,es,2021-11-26,6.6,tricks; mountain; former,El refugio
"Action, Crime, Thriller",en,2015-08-20,5.8,assassin; An; teams,Hitman: Agent 47
"Comedy, Family",en,2012-09-03,6.3,make; fit; hotel,Beverly Hills Chihuahua 3: Viva la Fiesta!
Horror,en,2014-10-02,5.7,terrifying; invaded; occurrences,Annabelle
